,PostId,PostUrl,Platform,ChannelID,ChannelName,ChannelEngagement,post_body_text,published_at,LikesCount,SharesCount,CommentsCount,ViewsCount,FollowersCount,FollowersCommentsRatio
0,364996675,https://www.tiktok.com/@drjillstein/video/7433914785139313962,TikTok,20895344,Jill Stein,"{""follower_count"":152642,""following_count"":130,""like_count"":2403750,""post_count"":362,""views_count"":40029330,""comment_count"":139339,""share_count"":208747}",@YourFavoriteGuy Thank you and Free Palestine 🍉 #VOTEGREEN #VOTEJILLSTEIN #steinware2024 ,2024-11-05T21:46:09.000Z,1333,138,117,12003,15264,130.46153846153845
1,364996694,https://www.tiktok.com/@drjillstein/video/7433911275958177066,TikTok,20895344,Jill Stein,"{""follower_count"":152642,""following_count"":130,""like_count"":2403750,""post_count"":362,""views_count"":40029330,""comment_count"":139339,""share_count"":208747}",Thank you @hamzah | حمزة 🍉 Free Palestine #VOTEGREEN #VOTEJILLSTEIN ,2024-11-05T21:32:33.000Z,5376,416,240,31732,15264,63.6
2,364896115,https://twitter.com/ehsanjoarder/status/1853897336683950486,Twitter,25508338,Ehsan Joarder,"{""follower_count"":3353,""following_count"":1517,""like_count"":null,""post_count"":911,""views_count"":null,""comment_count"":null,""share_count"":null}","@whatyournamed My vote must be earned, 2016 Trump had my vote, 2020 Trump had my vote. 2024 Israel First Trump lost it",2024-11-05T20:29:03.000Z,38,0,5,694,335,67.0
3,364863907,https://twitter.com/MarshaBlackburn/status/1853891334920134961,Twitter,6716023,Sen. Marsha Blackburn,"{""follower_count"":1280609,""following_count"":2025,""like_count"":null,""post_count"":21473,""views_count"":null,""comment_count"":null,""share_count"":null}",I am praying for Israel as they continue to face vicious attacks by Iran-backed proxies and Hamas terrorists.,2024-11-05T20:05:12.000Z,691,87,140,20233,128060,914.7142857142857
4,364758275,https://twitter.com/RepMarkGreen/status/1853890305478521146,Twitter,8644989,Rep. Mark Green,"{""follower_count"":98209,""following_count"":1169,""like_count"":null,""post_count"":11852,""views_count"":null,""comment_count"":null,""share_count"":null}","The successful capture of a senior Hezbollah leader is critical to U.S. national security. The more terrorists Israel takes off the board, the fewer there are to threaten Israelis and Americans alike. 

https://t.co/VFd5UmrcQu",2024-11-05T20:01:07.000Z,16,1,2,715,9820,4910.0
5,364759984,https://twitter.com/ehsanjoarder/status/1853884036076179961,Twitter,25508338,Ehsan Joarder,"{""follower_count"":3365,""following_count"":1517,""like_count"":null,""post_count"":911,""views_count"":null,""comment_count"":null,""share_count"":null}",No on Israel https://t.co/og2fPj0NX4,2024-11-05T19:36:12.000Z,872,51,76,26625,336,4.421052631578948
6,364804231,https://twitter.com/epanitch/status/1853882877441917343,Twitter,8706562,Rep. Esther Panitch,"{""follower_count"":9526,""following_count"":5225,""like_count"":null,""post_count"":32398,""views_count"":null,""comment_count"":null,""share_count"":null}","RT @biannagolodryga: This isn’t a surprise. Netanyahu fired Gallant during the judicial crisis, only to bring him back after pressure from…",2024-11-05T19:31:36.000Z,0,104,0,0,952,inf
7,364759769,https://twitter.com/DrJillStein/status/1853878190626009097,Twitter,10614341,Dr. Jill Stein🌻,"{""follower_count"":401390,""following_count"":1797,""like_count"":null,""post_count"":19712,""views_count"":null,""comment_count"":null,""share_count"":null}","RT @SpiritofHo: Just voted. It was an easy choice.

I voted for peace and against war.

For Palestine 🇵🇸 and against genocide.

For workers…",2024-11-05T19:12:58.000Z,0,398,0,0,40139,inf
8,364763636,https://twitter.com/bfry1981/status/1853872125079343580,Twitter,7239289,Brian E. Frydenborg SLAVA UKRAINI! No to Trump/GOP,"{""follower_count"":21336,""following_count"":7259,""like_count"":null,""post_count"":309865,""views_count"":null,""comment_count"":null,""share_count"":null}",RT @BarakRavid: BREAKING: Netanyahu appoints foreign minister Israel Katz as minister of defense and Gideon Saar as foreign minister,2024-11-05T18:48:52.000Z,0,204,0,0,2133,inf
9,364759792,https://twitter.com/DrJillStein/status/1853870912690442695,Twitter,10614341,Dr. Jill Stein🌻,"{""follower_count"":401390,""following_count"":1797,""like_count"":null,""post_count"":19712,""views_count"":null,""comment_count"":null,""share_count"":null}","RT @CallForCongress: Stein campaign in Dearborn for the election

Nighttime commercial streets looking like Free Palestine 🇵🇸 https://t.co/…",2024-11-05T18:44:03.000Z,0,43,0,0,40139,inf
10,364698408,https://twitter.com/ChesterToddWI/status/1853867573789782104,Twitter,24487014,Chester Todd for Congress WI-01,"{""follower_count"":2241,""following_count"":1175,""like_count"":null,""post_count"":1619,""views_count"":null,""comment_count"":null,""share_count"":null}","Why do I feel that Israel will do something terrible tonight while the people of the US are distracted by the election of our Board of Directors?

Oh, that's right.  They did the same thing in the West Bank in 2016.",2024-11-05T18:30:47.000Z,46,26,2,357,224,112.0
11,364700188,https://twitter.com/markalfordkc/status/1853864627987239221,Twitter,8403376,Mark Alford 🇺🇸🇺🇸🇺🇸🇺🇸,"{""follower_count"":14522,""following_count"":717,""like_count"":27487,""post_count"":7053,""views_count"":79686304,""comment_count"":null,""share_count"":null}","Over $100 billion in oil sales to Iran and $16.5 billion in sanctioned funds released—thanks to Biden’s weakness on the world stage.

Iran is using these resources to fund terror groups like Hezbollah, who seek Israel’s destruction.

This is the harsh reality Israel faces every https://t.co/DGbrqOdU32",2024-11-05T18:19:05.000Z,9,3,2,665,1452,726.0
12,364701113,https://twitter.com/JakeEllzey/status/1853859688091398144,Twitter,9284432,Jake Ellzey,"{""follower_count"":4645,""following_count"":417,""like_count"":null,""post_count"":801,""views_count"":null,""comment_count"":null,""share_count"":null}","Just left Midlothian and Corsicana, and now heading to Palestine and Jacksonville! https://t.co/FgEUXj50kl",2024-11-05T17:59:27.000Z,14,2,4,752,464,116.0
13,364698957,https://twitter.com/DrJillStein/status/1853839983339008211,Twitter,10614341,Dr. Jill Stein🌻,"{""follower_count"":401394,""following_count"":1797,""like_count"":null,""post_count"":19712,""views_count"":null,""comment_count"":null,""share_count"":null}","RT @guychristensen_: I asked Jill Stein what should be done about AIPAC and the pro Israel lobby in America:

Here is what she said 👇👇 http…",2024-11-05T16:41:09.000Z,0,668,0,0,40139,inf
14,364699034,https://twitter.com/DrJillStein/status/1853839564806508873,Twitter,10614341,Dr. Jill Stein🌻,"{""follower_count"":401387,""following_count"":1797,""like_count"":null,""post_count"":19684,""views_count"":null,""comment_count"":null,""share_count"":null}","RT @anthonyzenkus: Liberals keep saying ""A vote for Jill Stein is a vote for Donald Trump"" and that Donald Trump is going to let Israel  ""f…",2024-11-05T16:39:29.000Z,0,183,0,0,40138,inf
